val_loss,step,epoch,train_loss
0.697906494140625,5,0,
,5,0,0.6994221806526184
0.67510986328125,11,1,
,11,1,0.686004638671875
0.673187255859375,17,2,
,17,2,0.6635233759880066
0.670623779296875,23,3,
,23,3,0.648895263671875
0.63720703125,29,4,
,29,4,0.623138427734375
0.61334228515625,35,5,
,35,5,0.595855712890625
0.5821533203125,41,6,
,41,6,0.552978515625
0.576263427734375,47,7,
,47,7,0.520111083984375
0.5646514892578125,53,8,
,53,8,0.485076904296875
0.5762939453125,59,9,
,59,9,0.462615966796875
0.5626220703125,65,10,
,65,10,0.4431864321231842
0.5556640625,71,11,
,71,11,0.4235433042049408
0.559112548828125,77,12,
,77,12,0.40423583984375
0.5475311279296875,83,13,
,83,13,0.3994954526424408
0.5504150390625,89,14,
,89,14,0.3863627016544342
0.5558013916015625,95,15,
,95,15,0.3820444643497467
0.5546875,101,16,
,101,16,0.371734619140625
0.5431671142578125,107,17,
,107,17,0.3669535219669342
0.5433502197265625,113,18,
,113,18,0.3627828061580658
0.5475921630859375,119,19,
,119,19,0.3590799868106842
0.5478973388671875,125,20,
,125,20,0.3569844663143158
0.5431671142578125,131,21,
,131,21,0.3561147153377533
0.5450286865234375,137,22,
,137,22,0.3517049252986908
