val_loss,epoch,step,train_loss
0.69268798828125,0,5,
,0,5,0.701019287109375
0.675750732421875,1,11,
,1,11,0.6912028193473816
0.638824462890625,2,17,
,2,17,0.6537882685661316
0.614501953125,3,23,
,3,23,0.615753173828125
0.585296630859375,4,29,
,4,29,0.5742899775505066
0.595306396484375,5,35,
,5,35,0.5401763916015625
0.568023681640625,6,41,
,6,41,0.5033060908317566
0.54901123046875,7,47,
,7,47,0.4632059633731842
0.5561676025390625,8,53,
,8,53,0.4394989013671875
0.5529022216796875,9,59,
,9,59,0.4164886474609375
0.5614471435546875,10,65,
,10,65,0.4057464599609375
0.553558349609375,11,71,
,11,71,0.3987070620059967
0.54791259765625,12,77,
,12,77,0.389251708984375
0.540740966796875,13,83,
,13,83,0.3833414614200592
0.54119873046875,14,89,
,14,89,0.3745473325252533
0.5540008544921875,15,95,
,15,95,0.3779347836971283
0.557464599609375,16,101,
,16,101,0.3812815248966217
0.548675537109375,17,107,
,17,107,0.3721669614315033
0.5387420654296875,18,113,
,18,113,0.3673757016658783
0.539825439453125,19,119,
,19,119,0.3646748960018158
0.5565338134765625,20,125,
,20,125,0.3644612729549408
0.5477142333984375,21,131,
,21,131,0.3666585385799408
0.541107177734375,22,137,
,22,137,0.3620758056640625
0.5619354248046875,23,143,
,23,143,0.3619537353515625
