val_loss,epoch,step,train_loss
0.686737060546875,0,3,
,0,3,0.693756103515625
0.68133544921875,1,7,
,1,7,0.6856842041015625
0.69610595703125,2,11,
,2,11,0.675689697265625
0.686767578125,3,15,
,3,15,0.6753692626953125
0.667327880859375,4,19,
,4,19,0.6562347412109375
0.660858154296875,5,23,
,5,23,0.6398468017578125
0.64111328125,6,27,
,6,27,0.6367034912109375
0.62200927734375,7,31,
,7,31,0.6247406005859375
0.6351470947265625,8,35,
,8,35,0.5959320068359375
0.605255126953125,9,39,
,9,39,0.5893173217773438
0.6013336181640625,10,43,
,10,43,0.5535202026367188
0.6070556640625,11,47,
,11,47,0.5499954223632812
0.5910186767578125,12,51,
,12,51,0.506683349609375
0.577850341796875,13,55,
,13,55,0.5273513793945312
0.5683441162109375,14,59,
,14,59,0.4967193603515625
0.6180877685546875,15,63,
,15,63,0.4910736083984375
0.5827789306640625,16,67,
,16,67,0.462554931640625
0.602081298828125,17,71,
,17,71,0.4351043701171875
0.5734100341796875,18,75,
,18,75,0.44695281982421875
0.621124267578125,19,79,
,19,79,0.44705963134765625
