step,val_loss,epoch,train_loss
3,0.9993741512298584,0,
3,,0,0.9996906518936157
7,1.0026872158050537,1,
7,,1,0.995631217956543
11,0.9945220351219177,2,
11,,2,0.9770997166633606
15,0.9579089283943176,3,
15,,3,0.9437496066093445
19,0.8841000199317932,4,
19,,4,0.9082090258598328
23,0.872730016708374,5,
23,,5,0.8468068242073059
27,0.8101465702056885,6,
27,,6,0.7819156646728516
31,0.7535011172294617,7,
31,,7,0.6596959829330444
35,0.7208533883094788,8,
35,,8,0.5856146812438965
39,0.6701188087463379,9,
39,,9,0.4875699281692505
43,0.7683348655700684,10,
43,,10,0.459098219871521
47,0.688562273979187,11,
47,,11,0.4595727324485779
51,0.7464234232902527,12,
51,,12,0.4139440059661865
55,0.7180896997451782,13,
55,,13,0.3892432451248169
59,0.6872929334640503,14,
59,,14,0.323229044675827
