step,val_loss,epoch,train_loss
3,0.9914386868476868,0,
3,,0,1.0028408765792847
7,0.9675661325454712,1,
7,,1,0.9878175854682922
11,0.9562125205993652,2,
11,,2,0.9572697877883911
15,0.9368865489959717,3,
15,,3,0.9195245504379272
19,0.920852780342102,4,
19,,4,0.8877790570259094
23,0.8626552820205688,5,
23,,5,0.8231748938560486
27,0.8455377817153931,6,
27,,6,0.7827438712120056
31,0.7740054726600647,7,
31,,7,0.6907423734664917
35,0.7679206728935242,8,
35,,8,0.547674298286438
39,0.6860758066177368,9,
39,,9,0.5008128881454468
43,0.7166727185249329,10,
43,,10,0.4849052131175995
47,0.7028096914291382,11,
47,,11,0.4217000901699066
51,0.7421245574951172,12,
51,,12,0.40041208267211914
55,0.7452479004859924,13,
55,,13,0.4130183756351471
59,0.7088595628738403,14,
59,,14,0.3347640633583069
