val_loss,step,epoch,train_loss
1.0032849311828613,3,0,
,3,0,1.0032793283462524
1.0067410469055176,7,1,
,7,1,0.979292631149292
0.9851330518722534,11,2,
,11,2,0.946578860282898
0.9410687685012817,15,3,
,15,3,0.8901602625846863
0.9461730122566223,19,4,
,19,4,0.8590646386146545
0.9354135990142822,23,5,
,23,5,0.8757562041282654
0.9259347319602966,27,6,
,27,6,0.8546289205551147
0.9205877780914307,31,7,
,31,7,0.8284986019134521
0.9147436022758484,35,8,
,35,8,0.8176596164703369
0.9059438109397888,39,9,
,39,9,0.7811208963394165
0.8568326830863953,43,10,
,43,10,0.7270264029502869
0.830985426902771,47,11,
,47,11,0.63937908411026
0.7831263542175293,51,12,
,51,12,0.6302664279937744
0.7530394196510315,55,13,
,55,13,0.4721660614013672
0.6613485813140869,59,14,
,59,14,0.4974971115589142
0.6639549732208252,63,15,
,63,15,0.46805623173713684
0.6701275110244751,67,16,
,67,16,0.3941689133644104
0.6026104092597961,71,17,
,71,17,0.38798391819000244
0.6332287788391113,75,18,
,75,18,0.41253867745399475
0.6719290018081665,79,19,
,79,19,0.2903271019458771
0.6298519968986511,83,20,
,83,20,0.34810465574264526
0.6094627380371094,87,21,
,87,21,0.382968008518219
0.6553137898445129,91,22,
,91,22,0.31321001052856445
