val_loss,epoch,step,train_loss
0.9892479777336121,0,5,
,0,5,0.9927451014518738
0.958393394947052,1,11,
,1,11,0.9575058817863464
0.9258018136024475,2,17,
,2,17,0.9304934144020081
0.8294268250465393,3,23,
,3,23,0.8554177284240723
0.663681149482727,4,29,
,4,29,0.7324714660644531
0.5396464467048645,5,35,
,5,35,0.5200278759002686
0.5241307020187378,6,41,
,6,41,0.41859832406044006
0.506330668926239,7,47,
,7,47,0.36104872822761536
0.503986120223999,8,53,
,8,53,0.3226270377635956
0.5111307501792908,9,59,
,9,59,0.30119788646698
0.5025860071182251,10,65,
,10,65,0.31129831075668335
0.4904499650001526,11,71,
,11,71,0.26186808943748474
0.46262598037719727,12,77,
,12,77,0.2738315165042877
0.5081204771995544,13,83,
,13,83,0.27330151200294495
0.4952118694782257,14,89,
,14,89,0.2439621239900589
0.4672315716743469,15,95,
,15,95,0.2392580360174179
0.49167537689208984,16,101,
,16,101,0.20688097178936005
0.4564480781555176,17,107,
,17,107,0.20310735702514648
0.48293986916542053,18,113,
,18,113,0.1920340210199356
0.47694748640060425,19,119,
,19,119,0.18513965606689453
0.4807157814502716,20,125,
,20,125,0.18584908545017242
0.4939681887626648,21,131,
,21,131,0.18595851957798004
0.495466947555542,22,137,
,22,137,0.18419694900512695
