val_loss,step,epoch,train_loss
0.9922900795936584,5,0,
,5,0,0.9999797344207764
0.9552018642425537,11,1,
,11,1,0.968678891658783
0.8402181267738342,17,2,
,17,2,0.8711859583854675
0.7222996950149536,23,3,
,23,3,0.768811047077179
0.6445358395576477,29,4,
,29,4,0.6262831091880798
0.5902894139289856,35,5,
,35,5,0.5054560899734497
0.5413069725036621,41,6,
,41,6,0.45851266384124756
0.561086118221283,47,7,
,47,7,0.431897908449173
0.5213040113449097,53,8,
,53,8,0.36855587363243103
0.5104748606681824,59,9,
,59,9,0.34570589661598206
0.4856334328651428,65,10,
,65,10,0.33743396401405334
0.4959559440612793,71,11,
,71,11,0.3139432370662689
0.5417306423187256,77,12,
,77,12,0.30902066826820374
0.5321988463401794,83,13,
,83,13,0.27432435750961304
0.49801960587501526,89,14,
,89,14,0.24610333144664764
0.507854700088501,95,15,
,95,15,0.24590341746807098
